window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
44050566222	4,119	3,0	Current	4,119	-0,633	-0,633	[Standing-Top,-0.4455445544554452,2.675144728441808,1.4560768960422585, Standing-Top,-0.41980198019801934,2.66005685614351,1.4745473354650418, Empty,1.0603960396039618,3.116143234009377,1.968391221233315, Standing-Top,-0.24851485148514854,2.065727771483464,2.089082137936015, Standing-Top,-1.0135313531353114,2.0503016071653306,2.1034061755215703, Empty,1.2567656765676558,3.095114490523602,2.1496375283501767]	5,0	Current,-0.6333333333333333,4.119061381755153	1,456	Standing-Top	-0,445	2,6750000000000003	1,474	2,66	-0,419	Standing-Top	Empty	3,116	1,968	1,06	2,065	-0,248	2,089	Standing-Top	2,103	Standing-Top	-1,0130000000000001	2,05	0,0	not set	Standing-Top	not set	Empty	2,149	0,666	3,095	1,256	not set	
16113030622	2,509	3,0	Current	2,509	1,3	1,3	[Empty,1.2537953795379535,2.4979349363874603,0.047748847390340354, Empty,1.2419141914191434,2.6591637588203936,0.1600928833632548]	5,0	Current,1.3,2.509980079602227	0,047	Empty	1,2530000000000001	2,497	0,16	2,6590000000000003	1,241	Empty	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	not set	
51320846413	2,19	3,0	Current	2,19	1,2	1,2	[Empty,1.2336633663366325,2.3752271127042777,0.18738545447986726, Empty,1.0666666666666662,2.0238742203099807,0.2137103770935263, Empty,1.2537953795379535,2.4979349363874603,0.31172166201196894, Empty,1.0838283828382826,1.849292009292661,0.3608118471426715, Empty,1.0864686468646878,1.8064688014385424,0.4008356307738308, Empty,1.1970297029702988,2.6444926635655364,0.4536121585476676]	5,0	Current,1.2,2.1908902300206647	0,187	Empty	1,233	2,375	0,213	2,023	1,066	Empty	Empty	2,497	0,311	1,2530000000000001	1,849	1,083	0,36	Empty	0,4	Empty	1,086	1,806	0,0	not set	Empty	not set	Empty	0,453	1,0	2,644	1,197	not set	
2618460739	5,3660000000000005	3,0	Current	5,3660000000000005	0,8	0,8	[Standing-Bottum,1.3587458745874585,3.44622789850544,1.9999711035753887, Standing-Bottum,1.3425742574257424,3.33243887195236,2.1052430707851486, Standing-Bottum,1.4709570957095701,3.3405110207999544,2.1342611457618297, Standing-Bottum,1.6735973597359717,3.3515323727714277,2.1962516622631765, Empty,1.0603960396039618,3.116143234009377,2.265435030567648, Standing-Bottum,1.5254125412541242,3.2004737818454263,2.2843306434293056]	5,0	Current,0.8,5.366563145999495	1,999	Standing-Bottum	1,358	3,446	2,105	3,332	1,342	Standing-Bottum	Standing-Bottum	3,34	2,134	1,47	3,351	1,673	2,196	Standing-Bottum	2,265	Empty	1,06	3,116	0,0	not set	Standing-Bottum	not set	Standing-Bottum	2,2840000000000003	0,833	3,2	1,5250000000000001	not set	
38104442855	5,609	3,0	Current	5,609	-0,133	-0,133	[Moving-Bottum,0.4211221122112211,5.451586325162213,0.5765089213193615, Moving-Top,0.5861386138613861,5.391138835861313,0.7518832013141052, Moving-Top,0.7376237623762374,5.305028467779827,0.9226476858738926, Moving-Top,0.34653465346534645,6.5009773971267855,1.0124115753979002, Moving-Bottum,0.655775577557756,4.72061926162964,1.188625170298348, Moving-Top,0.6805280528052807,4.693481525833195,1.2253526061938096]	5,0	Current,-0.13333333333333333,5.6095157247900325	0,5760000000000001	Moving-Bottum	0,421	5,4510000000000005	0,751	5,391	0,586	Moving-Top	Moving-Top	5,305	0,922	0,737	6,5	0,34600000000000003	1,012	Moving-Top	1,188	Moving-Bottum	0,655	4,72	0,0	not set	Moving-Top	not set	Moving-Top	1,225	0,666	4,6930000000000005	0,68	not set	
56625424978	1,861	3,0	Current	1,861	-1,866	-1,866	[Standing-Top,-1.0135313531353114,2.0503016071653306,0.8736907513438613, Standing-Top,-0.996039603960396,1.9992314525559525,0.8813919529889931, Standing-Top,-0.8957095709570957,2.1629897351294307,1.0165694810009613, Standing-Top,-0.9178217821782173,1.355054902011537,1.075731017729535, Standing-Top,-0.7755775577557754,2.451227617640498,1.240074211150848, Standing-Top,-0.9537953795379545,0.9769240414681497,1.2714220717127975]	5,0	Current,-1.8666666666666667,1.8618986725025257	0,873	Standing-Top	-1,0130000000000001	2,05	0,881	1,999	-0,996	Standing-Top	Standing-Top	2,162	1,016	-0,895	1,355	-0,917	1,075	Standing-Top	1,24	Standing-Top	-0,775	2,451	0,0	not set	Standing-Top	not set	Standing-Top	1,2710000000000001	1,0	0,976	-0,9530000000000001	not set	
57090810426	3,92	3,0	Current	3,92	0,233	0,233	[Moving-Bottum,0.48613861386138596,3.8100466028164774,0.2756950133072178, Moving-Bottum,0.3640264026402642,3.6153263531023416,0.331553067613934, Moving-Bottum,0.43234323432343225,4.253114606773942,0.38800466793051824, Moving-Top,0.6221122112211221,4.1619044859733805,0.45787590170979914, Moving-Top,0.5636963696369637,4.482590897891778,0.6523879091305511, Moving-Bottum,0.6108910891089111,4.46426155064687,0.6623695880557082]	5,0	Current,0.23333333333333334,3.920034013457876	0,275	Moving-Bottum	0,486	3,81	0,331	3,615	0,364	Moving-Bottum	Moving-Bottum	4,253	0,388	0,432	4,1610000000000005	0,622	0,457	Moving-Top	0,652	Moving-Top	0,5630000000000001	4,482	0,0	not set	Moving-Bottum	not set	Moving-Bottum	0,662	0,666	4,464	0,61	not set	
58258790560	5,382	3,0	Current	5,382	0,366	0,366	[Moving-Top,0.5861386138613861,5.391138835861313,0.21965927619645934, Moving-Top,0.7376237623762374,5.305028467779827,0.3788725507182129, Moving-Top,0.992079207920792,5.117205770157015,0.6791858174451985, Moving-Top,0.7432343234323436,4.725933433731315,0.756516407522008, Moving-Top,0.34653465346534645,6.5009773971267855,1.119089500604104, Moving-Top,1.3818481848184816,4.494296923134731,1.3486040064955465]	5,0	Current,0.36666666666666664,5.382068994974579	0,219	Moving-Top	0,586	5,391	0,378	5,305	0,737	Moving-Top	Moving-Top	5,117	0,679	0,992	4,7250000000000005	0,743	0,756	Moving-Top	1,119	Moving-Top	0,34600000000000003	6,5	0,0	not set	Moving-Top	not set	Moving-Top	1,348	1,0	4,494	1,381	not set	
39721519865	2,509	3,0	Current	2,509	1,7	1,7	[Empty,1.332673267326733,2.659857542337416,0.3967268359619199, Empty,1.2537953795379535,2.4979349363874603,0.44636716814383104, Empty,1.2419141914191434,2.6591637588203936,0.4817658956051646, Empty,1.2336633663366325,2.3752271127042777,0.48541551065482164, Empty,1.1970297029702988,2.6444926635655364,0.5206464778893952, Standing-Bottum,1.7247524752475223,3.0933362092903014,0.5838810316113464]	5,0	Current,1.7,2.509980079602226	0,396	Empty	1,332	2,6590000000000003	0,446	2,497	1,2530000000000001	Empty	Empty	2,6590000000000003	0,481	1,241	2,375	1,233	0,485	Empty	0,52	Empty	1,197	2,644	0,0	not set	Empty	not set	Standing-Bottum	0,583	0,833	3,093	1,724	not set	
81385322758	1,366	3,0	Current	1,366	0,066	0,066	[Standing-Top,0.14224422442244208,1.8889850199093299,0.5281603041746716, Standing-Top,-0.24851485148514854,2.065727771483464,0.7671990679465942, Empty,1.0359735973597364,1.2702408313546476,0.9740511414958948, Empty,1.0297029702970293,1.1993742909750715,0.9773892756083346, Standing-Top,-0.9178217821782173,1.355054902011537,0.9845522141657366, Empty,1.0650165016501651,1.7995121914734378,1.0883059156017725]	5,0	Current,0.06666666666666667,1.3662601021279464	0,528	Standing-Top	0,14200000000000002	1,8880000000000001	0,767	2,065	-0,248	Standing-Top	Empty	1,27	0,974	1,035	1,199	1,029	0,977	Empty	0,984	Standing-Top	-0,917	1,355	0,0	not set	Empty	not set	Empty	1,088	0,5	1,799	1,065	not set	
