window:30.0	alpha:0.2	knn:6.0	
time	StdDev	source	Datapoint Type	Datapoint Y	Datapoint X	power	Neighbores	destination	Datapoint	Neighbore(1) Distance	Neighbore(1) Type	Neighbore(1) X	Neighbore(1) Y	Neighbore(2) Distance	Neighbore(2) Y	Neighbore(2) X	Neighbore(2) Type	Neighbore(3) Type	Neighbore(3) Y	Neighbore(3) Distance	Neighbore(3) X	Neighbore(4) Y	Neighbore(4) X	Neighbore(4) Distance	Neighbore(4) Type	Neighbore(5) Distance	Neighbore(5) Type	Neighbore(5) X	Neighbore(5) Y	KNNTotalMissfired	KNNStateWeight	KNNState	KNNStateMissfired	Neighbore(6) Type	Neighbore(6) Distance	KNNConfidence	Neighbore(6) Y	Neighbore(6) X	null	
30923086078	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
65086515951	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
68917213073	1,643	5,0	Current	1,643	3,9	3,9	[Moving-Bottum,3.870627062706269,1.6981687991878538,0.06235297411102167, Moving-Top,4.011221122112201,1.6436841570252647,0.11122232132151355, Moving-Top,3.9999999999999987,1.7531507004956453,0.148648129633982, Moving-Top,4.043234323432344,1.570990533438764,0.16039205346407873, Moving-Bottum,3.8973597359735974,1.482712714259177,0.16047667937481622, Moving-Top,3.9419141914191407,1.8072505495992088,0.16935167549920432]	6,0	Current,3.9,1.6431676725155002	0,062	Moving-Bottum	3,87	1,698	0,111	1,643	4,011	Moving-Top	Moving-Top	1,7530000000000001	0,148	3,999	1,57	4,043	0,16	Moving-Top	0,16	Moving-Bottum	3,8970000000000002	1,482	0,0	not set	Moving-Top	not set	Moving-Top	0,169	0,666	1,807	3,9410000000000003	not set	
562673411	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
24233297255	2,041	5,0	Current	2,041	3,833	3,833	[Standing-Bottum,3.9306930693069297,0.9462376400974407,1.0993235497201383, Standing-Bottum,3.969636963696368,0.6876171221780396,1.360469590546058, Standing-Top,3.970297029702968,0.5117596870536449,1.5356020071631267, Standing-Bottum,3.9702970297029707,0.5090483535153751,1.538302553513337, Standing-Top,3.9732673267326732,0.35323755200572526,1.6937941698986267, Standing-Bottum,3.9900990099009905,0.2920372515594577,1.7562149109108616]	6,0	Current,3.8333333333333335,2.0412414523193148	1,099	Standing-Bottum	3,93	0,9460000000000001	1,36	0,687	3,969	Standing-Bottum	Standing-Top	0,511	1,5350000000000001	3,97	0,509	3,97	1,538	Standing-Bottum	1,693	Standing-Top	3,973	0,353	0,0	not set	Standing-Bottum	not set	Standing-Bottum	1,756	0,666	0,292	3,99	not set	
69318871772	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
67822235472	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
52532402478	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
76724514096	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
60479990100	0,0	5,0	Current	0,0	4,0	4,0	[Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0, Empty,4.0,0.0,0.0]	6,0	Current,4.0,0.0	0,0	Empty	4,0	0,0	0,0	0,0	4,0	Empty	Empty	0,0	0,0	4,0	0,0	4,0	0,0	Empty	0,0	Empty	4,0	0,0	0,0	not set	Empty	not set	Empty	0,0	1,0	0,0	4,0	not set	
